icao,name,municipality,iso_country,type
UUWO,Ogaryovo Heliport,Moscow,RU,heliport
UUWU,Gorki-9 Heliport,Moscow,RU,heliport
UUUG,Crocus Expo Helipad,Krasnogorsk,RU,heliport
UUWY,Anosino-2 Heliport,,RU,heliport
ULLZ,Rechnoy Yacht-club Helipad,Saint Petersburg,RU,heliport
XHHP,Pereyaslavka-2 Air Base,Pereyaslavka,RU,small_airport
UUEJ,Volen Heliport,Yakhroma,RU,heliport
XWOW,Sokol Air Base,Orsk,RU,small_airport
XNNK,Kupino Air Base,Kupino,RU,small_airport
UHWV,Vozdvizhenka Air Base,Vozdvizhenka,RU,medium_airport
XHIL,Khorol Air Base,Khorol,RU,small_airport
XNNU,Kubovaya Heliport,,RU,heliport
UNCN,Krasnoozyorsk Airport,Krasnoozyorskoye,RU,small_airport
UUMV,Voskresensk Airstrip,Voskresensk,RU,small_airport
ULSJ,Burny Airfield,Solovyovo,RU,small_airport
UUCB,Beloomut Airfield,Beloomut,RU,small_airport
URKN,Gelendzhik Seaplane Base,Gelendzhik,RU,seaplane_base
ULNL,Lyubytino Airstrip,Lyubytino,RU,small_airport
URKW,Labinsk,Labinsk,RU,small_airport
ULOR,Seredka Airfield,Seredka,RU,small_airport
UEQL,Eldikan Airstrip,Eldikan,RU,small_airport
UNAN,Novoselovo Airport,Novoselovo,RU,small_airport
UNAT,Krasnoturansk Airport,Krasnoturansk,RU,small_airport
UINO,Oktyabrskiy Airport,Oktyabrskiy,RU,small_airport
UNIM,Motygino Airport,Motygino,RU,small_airport
UHAL,Lamutskoye Airport,Lamutskoye,RU,small_airport
UUIN,Nebyloye Airfield,Zventsovo,RU,small_airport
UHBF,Fevralsk Airport,,RU,small_airport
UEBY,Byas-Kyuyol Airport,,RU,small_airport
UHQO,Ozernovskiy Airport,Ozernovskiy,RU,small_airport
UHPZ,Kamenskoye Heliport,Kamenskoye,RU,heliport
UHOQ,Inya Airport,Inya,RU,small_airport
UHOI,Tukchi Airport,Tukchi,RU,small_airport
UHNI,Kiran Airport,Kiran,RU,small_airport
XHBO,Orlovka Air Base,Vernoye,RU,small_airport
UHPJ,Achayvayam Heliport,Achayvayam,RU,heliport
UNKD,Kyzyl-Mazhalyk Airport,Kyzyl-Mazhalyk,RU,small_airport
UNLO,Molchanovo Heliport,Molchanovo,RU,heliport
UUMB,Kubinka Air Base,Kubinka,RU,medium_airport
UNBO,Manzherok Airport,Manzherok,RU,small_airport
UHSA,Aleksandrovsk-Sakhalinskiy Airport,Aleksandrovsk-Sakhalinskiy,RU,small_airport
UHHW,Kukan Airport,Kukan,RU,small_airport
UNHU,Artel-Amur Kondyor Airport,Worgalan,RU,small_airport
ULDH,Arkticheskiy Vertodrome,Varandey,RU,heliport
ULOL,Velikiye Luki Airport,Velikiye Luki,RU,medium_airport
XLMK,Kirovsk-Apatity Airport,Apatity,RU,small_airport
UUBL,Semyazino Airport,Vladimir,RU,medium_airport
XLLL,Soltsy-2 Air Base,Soltsy,RU,medium_airport
ULAE,Mezen Airfield,Mezen,RU,small_airport
UUWE,Yermolino Air Base,Balabanovo,RU,medium_airport
UUBM,Myachkovo Airfield,Moscow,RU,medium_airport
ULNR,Staraya Russa Air Base,Staraya Russa,RU,medium_airport
UUBD,Dyagilevo Air Base,Ryazan,RU,medium_airport
URRW,Veshenskaya Airfield,Veshenskaya,RU,small_airport
ULWR,Vytegra Airfield,Vytegra,RU,small_airport
ULNB,Borovichi Airfield,Borovichi,RU,small_airport
ULAP,Karpogory Airfield,Karpogory,RU,small_airport
ULAT,Pertominsk Airstrip,Pertominsk,RU,small_airport
ULBL,Lopshenga Airstrip,Lopshenga,RU,small_airport
ULMX,Krasnoshchelye Airstrip,Krasnoshchelye,RU,small_airport
ULAV,Nizhnyaya Pesha Airport,Nizhnyaya Pesha,RU,small_airport
ULBO,Shoyna Airstrip,Shoyna,RU,small_airport
URKE,Yeysk Airport,Yeysk,RU,medium_airport
URRM,Morozovsk Air Base,Morozovsk,RU,small_airport
ULPE,Kem Helipad,Kem,RU,heliport
URKF,Afipsky Heliport,Afipski,RU,heliport
UESV,Ostrov Zhokhova Heliport,Zhokhov Island,RU,heliport
UUCT,Torbeyevo Airfield,Torbeyevo,RU,small_airport
UHGE,Yagodnoye Airfield,Yagodnoye,RU,small_airport
UIBM,Mostovoy Airfield,,RU,small_airport
UHWX,Avialift Vladivostok Heliport,Artyom,RU,heliport
ULWX,Kedrovo Airfield,Kedrovo,RU,small_airport
UHWR,Roshchino Airport,Roshchino,RU,small_airport
UUCN,Nudol Airfield,,RU,small_airport
XIAN,Nerchinsk Air Base,Nerchinsk,RU,small_airport
XHSO,Dolinsk-Sokol Air Base,Dolinsk,RU,medium_airport
XWTD,Dombarovskiy Air Base,Dombarovskiy,RU,small_airport
UIID,Dzhida Air Base,Dzhida,RU,medium_airport
UUFO,Oreshkovo Airfield,Kaluga,RU,medium_airport
XWSB,Bagay-Baranovka Air Base,Sennoy,RU,medium_airport
XNKG,Kansk Air Base,Kansk,RU,medium_airport
XWKD,Danilovo Air Base,Yoshkar Ola,RU,medium_airport
ULDA,Rogachyovo Air Base,Belaya,RU,medium_airport
